,x,y,name,1128,1307,1131,1070,1107,1139,1145,1092,1140,1138,1129,1122,1399,1311,1200,1692,1105,1103,1433,1121,1137,1309,1658,1654,1134,1054,1308,1167,1507,1651,1117,1383,1414,1360,1106,1132,1404,1259,1344,1642,1412,1244,1403
138,1488,,/Users/akshitshishodia/tracker/roboDK /pred/138.png,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,1472,,/Users/akshitshishodia/tracker/roboDK /pred/139.png,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,1454,,/Users/akshitshishodia/tracker/roboDK /pred/140.png,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,
141,1454,,/Users/akshitshishodia/tracker/roboDK /pred/141.png,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,
142,1488,,/Users/akshitshishodia/tracker/roboDK /pred/142.png,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,1476,,/Users/akshitshishodia/tracker/roboDK /pred/143.png,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,
144,1472,,/Users/akshitshishodia/tracker/roboDK /pred/144.png,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,1452,,/Users/akshitshishodia/tracker/roboDK /pred/145.png,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,1488,,/Users/akshitshishodia/tracker/roboDK /pred/146.png,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,1470,,/Users/akshitshishodia/tracker/roboDK /pred/147.png,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,
148,1475,,/Users/akshitshishodia/tracker/roboDK /pred/148.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,
149,1472,,/Users/akshitshishodia/tracker/roboDK /pred/149.png,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,1476,,/Users/akshitshishodia/tracker/roboDK /pred/150.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,
151,1476,,/Users/akshitshishodia/tracker/roboDK /pred/151.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,
152,1469,,/Users/akshitshishodia/tracker/roboDK /pred/152.png,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,1475,,/Users/akshitshishodia/tracker/roboDK /pred/153.png,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,
154,1470,,/Users/akshitshishodia/tracker/roboDK /pred/154.png,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,
155,1488,,/Users/akshitshishodia/tracker/roboDK /pred/155.png,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,1452,,/Users/akshitshishodia/tracker/roboDK /pred/156.png,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,1472,,/Users/akshitshishodia/tracker/roboDK /pred/157.png,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,1476,,/Users/akshitshishodia/tracker/roboDK /pred/158.png,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,
159,1456,,/Users/akshitshishodia/tracker/roboDK /pred/159.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,
160,1469,,/Users/akshitshishodia/tracker/roboDK /pred/160.png,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,
161,1477,,/Users/akshitshishodia/tracker/roboDK /pred/161.png,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,1476,,/Users/akshitshishodia/tracker/roboDK /pred/162.png,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,
163,1488,,/Users/akshitshishodia/tracker/roboDK /pred/163.png,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,1477,,/Users/akshitshishodia/tracker/roboDK /pred/164.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,
